State,Sent,Date
Wyoming,66,1
Pennsylvania,60,1
California,72,1
Alabama,71,1
Colorado,80,1
Maryland,62,1
Washington,82,1
South Carolina,66,1
Connecticut,100,1
Arizona,77,1
Texas,76,1
Indiana,64,1
Ohio,76,1
Wisconsin,80,1
Georgia,72,1
New York,82,1
Massachusetts,64,1
Virginia,81,1
Tennessee,69,1
Utah,50,1
New Jersey,87,1
Nevada,64,1
Idaho,100,1
Florida,74,1
Missouri,80,1
Kentucky,73,1
Illinois,65,1
Kansas,100,1
Oregon,83,1
Minnesota,83,1
Michigan,66,1
Iowa,42,1
Montana,0,1
Arkansas,100,1
New Mexico,94,1
North Carolina,75,1
Mississippi,100,1
New Hampshire,100,1
Nebraska,80,1
Oklahoma,71,1
Alaska,60,1
Louisiana,71,1
South Dakota,100,1
Hawaii,100,1
Rhode Island,100,1
Maine,100,1
Vermont,100,1
Wyoming,50,4
Pennsylvania,66,4
California,72,4
Alabama,84,4
Colorado,73,4
Maryland,71,4
Washington,83,4
South Carolina,66,4
Connecticut,76,4
Arizona,73,4
Texas,72,4
Indiana,75,4
Ohio,75,4
Wisconsin,69,4
Georgia,84,4
New York,78,4
Massachusetts,60,4
Virginia,76,4
Tennessee,66,4
Utah,69,4
New Jersey,82,4
Nevada,74,4
Idaho,100,4
Florida,77,4
Missouri,75,4
Kentucky,70,4
Illinois,67,4
Kansas,90,4
Oregon,76,4
Minnesota,90,4
Michigan,70,4
Iowa,68,4
Montana,0,4
Arkansas,100,4
New Mexico,92,4
North Carolina,80,4
Mississippi,100,4
New Hampshire,100,4
Nebraska,72,4
Oklahoma,61,4
Alaska,57,4
Louisiana,78,4
South Dakota,50,4
Hawaii,66,4
Rhode Island,100,4
Maine,83,4
Vermont,75,4
Delaware,83,4
North Dakota,100,4
West Virginia,0,4
Wyoming,60,8
Pennsylvania,70,8
California,72,8
Alabama,76,8
Colorado,73,8
Maryland,72,8
Washington,82,8
South Carolina,67,8
Connecticut,84,8
Arizona,71,8
Texas,74,8
Indiana,70,8
Ohio,75,8
Wisconsin,68,8
Georgia,75,8
New York,75,8
Massachusetts,66,8
Virginia,77,8
Tennessee,70,8
Utah,63,8
New Jersey,82,8
Nevada,69,8
Idaho,86,8
Florida,74,8
Missouri,75,8
Kentucky,76,8
Illinois,71,8
Kansas,92,8
Oregon,75,8
Minnesota,72,8
Michigan,68,8
Iowa,73,8
Montana,28,8
Arkansas,90,8
New Mexico,85,8
North Carolina,81,8
Mississippi,100,8
New Hampshire,57,8
Nebraska,78,8
Oklahoma,58,8
Alaska,62,8
Louisiana,69,8
South Dakota,50,8
Hawaii,50,8
Rhode Island,75,8
Maine,85,8
Vermont,85,8
Delaware,83,8
North Dakota,100,8
West Virginia,50,8
Wyoming,60,13
Pennsylvania,70,13
California,72,13
Alabama,77,13
Colorado,71,13
Maryland,74,13
Washington,80,13
South Carolina,67,13
Connecticut,84,13
Arizona,72,13
Texas,73,13
Indiana,70,13
Ohio,75,13
Wisconsin,70,13
Georgia,76,13
New York,75,13
Massachusetts,66,13
Virginia,77,13
Tennessee,71,13
Utah,60,13
New Jersey,80,13
Nevada,71,13
Idaho,86,13
Florida,73,13
Missouri,76,13
Kentucky,76,13
Illinois,70,13
Kansas,92,13
Oregon,76,13
Minnesota,72,13
Michigan,67,13
Iowa,73,13
Montana,28,13
Arkansas,90,13
New Mexico,85,13
North Carolina,82,13
Mississippi,100,13
New Hampshire,57,13
Nebraska,78,13
Oklahoma,58,13
Alaska,62,13
Louisiana,71,13
South Dakota,50,13
Hawaii,50,13
Rhode Island,75,13
Maine,75,13
Vermont,85,13
Delaware,83,13
North Dakota,100,13
West Virginia,50,13
Wyoming,60,14
Pennsylvania,70,14
California,72,14
Alabama,78,14
Colorado,71,14
Maryland,75,14
Washington,81,14
South Carolina,68,14
Connecticut,84,14
Arizona,72,14
Texas,73,14
Indiana,70,14
Ohio,74,14
Wisconsin,66,14
Georgia,75,14
New York,75,14
Massachusetts,66,14
Virginia,77,14
Tennessee,72,14
Utah,61,14
New Jersey,81,14
Nevada,68,14
Idaho,86,14
Florida,73,14
Missouri,76,14
Kentucky,76,14
Illinois,68,14
Kansas,92,14
Oregon,75,14
Minnesota,72,14
Michigan,68,14
Iowa,75,14
Montana,28,14
Arkansas,90,14
New Mexico,83,14
North Carolina,82,14
Mississippi,100,14
New Hampshire,57,14
Nebraska,78,14
Oklahoma,58,14
Alaska,55,14
Louisiana,71,14
South Dakota,50,14
Hawaii,50,14
Rhode Island,75,14
Maine,80,14
Vermont,85,14
Delaware,83,14
North Dakota,100,14
West Virginia,50,14
Wyoming,62,15
Pennsylvania,67,15
California,72,15
Alabama,83,15
Colorado,74,15
Maryland,70,15
Washington,80,15
South Carolina,70,15
Connecticut,78,15
Arizona,72,15
Texas,74,15
Indiana,75,15
Ohio,69,15
Wisconsin,71,15
Georgia,76,15
New York,73,15
Massachusetts,69,15
Virginia,73,15
Tennessee,70,15
Utah,61,15
New Jersey,79,15
Nevada,70,15
Idaho,84,15
Florida,73,15
Missouri,74,15
Kentucky,76,15
Illinois,70,15
Kansas,77,15
Oregon,75,15
Minnesota,65,15
Michigan,66,15
Iowa,66,15
Montana,33,15
Arkansas,83,15
New Mexico,81,15
North Carolina,75,15
Mississippi,100,15
New Hampshire,62,15
Nebraska,80,15
Oklahoma,68,15
Alaska,58,15
Louisiana,70,15
South Dakota,75,15
Hawaii,50,15
Rhode Island,76,15
Maine,80,15
Vermont,85,15
Delaware,83,15
North Dakota,80,15
West Virginia,66,15
Wyoming,62,18
Pennsylvania,67,18
California,72,18
Alabama,84,18
Colorado,74,18
Maryland,73,18
Washington,73,18
South Carolina,73,18
Connecticut,74,18
Arizona,69,18
Texas,73,18
Indiana,72,18
Ohio,68,18
Wisconsin,71,18
Georgia,76,18
New York,73,18
Massachusetts,71,18
Virginia,76,18
Tennessee,66,18
Utah,58,18
New Jersey,74,18
Nevada,69,18
Idaho,86,18
Florida,72,18
Missouri,74,18
Kentucky,73,18
Illinois,73,18
Kansas,75,18
Oregon,73,18
Minnesota,68,18
Michigan,67,18
Iowa,70,18
Montana,45,18
Arkansas,80,18
New Mexico,76,18
North Carolina,74,18
Mississippi,100,18
New Hampshire,69,18
Nebraska,80,18
Oklahoma,70,18
Alaska,53,18
Louisiana,71,18
South Dakota,60,18
Hawaii,57,18
Rhode Island,73,18
Maine,75,18
Vermont,85,18
Delaware,77,18
North Dakota,80,18
West Virginia,75,18
