State,Sent,Date
Texas,65,30
Florida,74,30
California,67,30
Tennessee,77,30
Indiana,53,30
Louisiana,66,30
Missouri,78,30
Kentucky,75,30
New York,72,30
New Jersey,66,30
Michigan,66,30
Illinois,77,30
Utah,50,30
Massachusetts,42,30
Arkansas,87,30
Pennsylvania,62,30
Nevada,76,30
Hawaii,66,30
Ohio,72,30
New Mexico,50,30
South Carolina,75,30
Idaho,60,30
Virginia,52,30
Arizona,73,30
Oregon,75,30
Mississippi,100,30
Colorado,58,30
Georgia,61,30
Washington,65,30
Alabama,100,30
Oklahoma,100,30
Wisconsin,91,30
North Carolina,64,30
Maryland,68,30
Delaware,50,30
Kansas,50,30
Connecticut,80,30
Alaska,50,30
New Hampshire,50,30
Maine,60,30
Minnesota,45,30
Rhode Island,80,30
Vermont,20,30
Iowa,100,30
West Virginia,50,30
Nebraska,100,30
Wyoming,100,30
Texas,63,3
Florida,73,3
California,61,3
Tennessee,70,3
Indiana,58,3
Louisiana,73,3
Missouri,78,3
Kentucky,52,3
New York,73,3
New Jersey,74,3
Michigan,73,3
Illinois,71,3
Utah,45,3
Massachusetts,60,3
Arkansas,90,3
Pennsylvania,63,3
Nevada,77,3
Hawaii,83,3
Ohio,75,3
New Mexico,60,3
South Carolina,81,3
Idaho,70,3
Virginia,68,3
Arizona,75,3
Oregon,72,3
Mississippi,100,3
Colorado,64,3
Georgia,71,3
Washington,61,3
Alabama,77,3
Oklahoma,100,3
Wisconsin,68,3
North Carolina,69,3
Maryland,75,3
Delaware,85,3
Kansas,55,3
Connecticut,78,3
Alaska,62,3
New Hampshire,57,3
Maine,50,3
Minnesota,55,3
Rhode Island,66,3
Vermont,28,3
Iowa,80,3
West Virginia,50,3
Nebraska,66,3
Wyoming,100,3
North Dakota,100,3
Montana,83,3
South Dakota,100,3
Texas,68,6
Florida,73,6
California,64,6
Tennessee,62,6
Indiana,61,6
Louisiana,75,6
Missouri,69,6
Kentucky,62,6
New York,76,6
New Jersey,69,6
Michigan,68,6
Illinois,72,6
Utah,53,6
Massachusetts,67,6
Arkansas,83,6
Pennsylvania,63,6
Nevada,83,6
Hawaii,85,6
Ohio,74,6
New Mexico,81,6
South Carolina,82,6
Idaho,66,6
Virginia,66,6
Arizona,72,6
Oregon,68,6
Mississippi,53,6
Colorado,76,6
Georgia,66,6
Washington,62,6
Alabama,72,6
Oklahoma,91,6
Wisconsin,70,6
North Carolina,72,6
Maryland,73,6
Delaware,88,6
Kansas,50,6
Connecticut,76,6
Alaska,70,6
New Hampshire,62,6
Maine,40,6
Minnesota,67,6
Rhode Island,66,6
Vermont,28,6
Iowa,90,6
West Virginia,54,6
Nebraska,75,6
Wyoming,75,6
North Dakota,100,6
Montana,66,6
South Dakota,100,6
Texas,67,9
Florida,72,9
California,64,9
Tennessee,71,9
Indiana,61,9
Louisiana,67,9
Missouri,69,9
Kentucky,66,9
New York,75,9
New Jersey,68,9
Michigan,64,9
Illinois,72,9
Utah,55,9
Massachusetts,70,9
Arkansas,83,9
Pennsylvania,64,9
Nevada,82,9
Hawaii,87,9
Ohio,75,9
New Mexico,81,9
South Carolina,80,9
Idaho,66,9
Virginia,64,9
Arizona,73,9
Oregon,66,9
Mississippi,50,9
Colorado,73,9
Georgia,70,9
Washington,64,9
Alabama,67,9
Oklahoma,79,9
Wisconsin,71,9
North Carolina,70,9
Maryland,73,9
Delaware,90,9
Kansas,60,9
Connecticut,78,9
Alaska,63,9
New Hampshire,55,9
Maine,50,9
Minnesota,66,9
Rhode Island,64,9
Vermont,37,9
Iowa,84,9
West Virginia,46,9
Nebraska,75,9
Wyoming,83,9
North Dakota,100,9
Montana,66,9
South Dakota,100,9
Texas,66,16
Florida,72,16
California,66,16
Tennessee,70,16
Indiana,65,16
Louisiana,71,16
Missouri,69,16
Kentucky,64,16
New York,72,16
New Jersey,69,16
Michigan,67,16
Illinois,71,16
Utah,61,16
Massachusetts,70,16
Arkansas,78,16
Pennsylvania,66,16
Nevada,82,16
Hawaii,80,16
Ohio,77,16
New Mexico,76,16
South Carolina,82,16
Idaho,66,16
Virginia,65,16
Arizona,70,16
Oregon,63,16
Mississippi,56,16
Colorado,73,16
Georgia,69,16
Washington,65,16
Alabama,68,16
Oklahoma,80,16
Wisconsin,73,16
North Carolina,70,16
Maryland,74,16
Delaware,91,16
Kansas,61,16
Connecticut,66,16
Alaska,63,16
New Hampshire,71,16
Maine,53,16
Minnesota,68,16
Rhode Island,68,16
Vermont,37,16
Iowa,80,16
West Virginia,43,16
Nebraska,66,16
Wyoming,85,16
North Dakota,75,16
Montana,66,16
South Dakota,100,16
