State,Sent,Date
Alabama,0,1
Alaska,0,1
Arizona,0,1
Arkansas,0,1
California,0,1
Colorado,0,1
Connecticut,0,1
Delaware,0,1
Florida,0,1
Georgia,0,1
Hawaii,0,1
Idaho,0,1
Illinois,0,1
Indiana,0,1
Iowa,0,1
Kansas,0,1
Kentucky,0,1
Louisiana,0,1
Maine,0,1
Maryland,0,1
Massachusetts,50,1
Michigan,50,1
Minnesota,50,1
Mississippi,50,1
Missouri,50,1
Montana,50,1
Nebraska,50,1
Nevada,50,1
New Hampshire,50,1
New Jersey,50,1
New Mexico,50,1
New York,50,1
North Carolina,50,1
North Dakota,100,1
Ohio,50,1
Oklahoma,100,1
Oregon,100,1
Pennsylvania,100,1
Rhode Island,100,1
South Carolina,100,1
South Dakota,100,1
Tennessee,100,1
Texas,100,1
Utah,100,1
Vermont,100,1
Virginia,100,1
Washington,100,1
West Virginia,100,1
Wisconsin,100,1
Wyoming,100,1
Alabama,100,2
Alaska,100,2
Arizona,100,2
Arkansas,100,2
California,100,2
Colorado,100,2
Connecticut,100,2
Delaware,100,2
Florida,100,2
Georgia,100,2
Hawaii,100,2
Idaho,50,2
Illinois,100,2
Indiana,50,2
Iowa,50,2
Kansas,0,2
Kentucky,0,2
Louisiana,0,2
Maine,0,2
Maryland,0,2
Massachusetts,0,2
Michigan,0,2
Minnesota,0,2
Mississippi,0,2
Missouri,0,2
Montana,0,2
Nebraska,0,2
Nevada,0,2
New Hampshire,0,2
New Jersey,0,2
New Mexico,0,2
New York,100,2
North Carolina,100,2
North Dakota,100,2
Ohio,100,2
Oklahoma,100,2
Oregon,100,2
Pennsylvania,100,2
Rhode Island,100,2
South Carolina,100,2
South Dakota,100,2
Tennessee,50,2
Texas,50,2
Utah,50,2
Vermont,50,2
Virginia,50,2
Washington,0,2
West Virginia,0,2
Wisconsin,0,2
Wyoming,0,2
